"label","label_name","board","post_id","comment_id","depth","title","post","comment"
"c","Critical","연애상담소","2023374","13054634","0","모솔남 출격한다.","계속 어그로 끌어서 미안하다
옷은 1번으로 하기로 햇다
헤어스프레이왁스샴푸린스샤워깔창파데선크림양산손수건렌즈
분칠도 2번 고치고 면도코털제거까지 다 햇다
메모해둔 대화주제 수첩도 챙겻고
복기록도 3번 분석햇다
챙길수잇는건 콘돔빼고 다 챙겻다
하늘이 도왓는지 오늘 날씨도 너무 좋다.
평소 보던 하늘인데
자전거타고 역까지 가느라 앞머리가 쓰나미가 되는데도
상대방도 이 하늘 보면서
약속장소 오고 있을거라 생각하며
리마인드 메세지 하나 보내는거도 너무 설렌다.
챗지피티가 만들어주는 내 문장보다
풍경이 비칠거같은 하늘이라는 말이 너무 예쁘다...
11시30분 개점이라 30분일찍 도착할거같아서
미리 줄 서있을라 했는데
상대방이랑 같이 줄 서있게 될 거 같다.
영하 10도 체감온도 영하 20도에서도 4박5일 야외숙영하고
50키로 완전무장 행군 완주한
상륙돌격 무적해병정신으로 가보자.
오늘만큼은 모솔아다도태번식탈락한남이 아닌
존잘알파메일 인간 대전차 지뢰다
후기 없으면
지뢰 터진줄 알아주삼..","연애하는게 뭔 대수라고 이렇게  난리오바부르스를 떠는지 ㅋㅋ"
"s","Supportive","연애상담소","2023374","13054716","1","모솔남 출격한다.","계속 어그로 끌어서 미안하다
옷은 1번으로 하기로 햇다
헤어스프레이왁스샴푸린스샤워깔창파데선크림양산손수건렌즈
분칠도 2번 고치고 면도코털제거까지 다 햇다
메모해둔 대화주제 수첩도 챙겻고
복기록도 3번 분석햇다
챙길수잇는건 콘돔빼고 다 챙겻다
하늘이 도왓는지 오늘 날씨도 너무 좋다.
평소 보던 하늘인데
자전거타고 역까지 가느라 앞머리가 쓰나미가 되는데도
상대방도 이 하늘 보면서
약속장소 오고 있을거라 생각하며
리마인드 메세지 하나 보내는거도 너무 설렌다.
챗지피티가 만들어주는 내 문장보다
풍경이 비칠거같은 하늘이라는 말이 너무 예쁘다...
11시30분 개점이라 30분일찍 도착할거같아서
미리 줄 서있을라 했는데
상대방이랑 같이 줄 서있게 될 거 같다.
영하 10도 체감온도 영하 20도에서도 4박5일 야외숙영하고
50키로 완전무장 행군 완주한
상륙돌격 무적해병정신으로 가보자.
오늘만큼은 모솔아다도태번식탈락한남이 아닌
존잘알파메일 인간 대전차 지뢰다
후기 없으면
지뢰 터진줄 알아주삼..","모솔한테는 ㅈㄴ 대수긴한데 수능만점급임"
"s","Supportive","연애상담소","2023374","13054745","1","모솔남 출격한다.","계속 어그로 끌어서 미안하다
옷은 1번으로 하기로 햇다
헤어스프레이왁스샴푸린스샤워깔창파데선크림양산손수건렌즈
분칠도 2번 고치고 면도코털제거까지 다 햇다
메모해둔 대화주제 수첩도 챙겻고
복기록도 3번 분석햇다
챙길수잇는건 콘돔빼고 다 챙겻다
하늘이 도왓는지 오늘 날씨도 너무 좋다.
평소 보던 하늘인데
자전거타고 역까지 가느라 앞머리가 쓰나미가 되는데도
상대방도 이 하늘 보면서
약속장소 오고 있을거라 생각하며
리마인드 메세지 하나 보내는거도 너무 설렌다.
챗지피티가 만들어주는 내 문장보다
풍경이 비칠거같은 하늘이라는 말이 너무 예쁘다...
11시30분 개점이라 30분일찍 도착할거같아서
미리 줄 서있을라 했는데
상대방이랑 같이 줄 서있게 될 거 같다.
영하 10도 체감온도 영하 20도에서도 4박5일 야외숙영하고
50키로 완전무장 행군 완주한
상륙돌격 무적해병정신으로 가보자.
오늘만큼은 모솔아다도태번식탈락한남이 아닌
존잘알파메일 인간 대전차 지뢰다
후기 없으면
지뢰 터진줄 알아주삼..","맞긴해 ㅋㅋㅋㅋ 모솔들한테는 대수임"
"s","Supportive","연애상담소","2023374","13054862","0","모솔남 출격한다.","계속 어그로 끌어서 미안하다
옷은 1번으로 하기로 햇다
헤어스프레이왁스샴푸린스샤워깔창파데선크림양산손수건렌즈
분칠도 2번 고치고 면도코털제거까지 다 햇다
메모해둔 대화주제 수첩도 챙겻고
복기록도 3번 분석햇다
챙길수잇는건 콘돔빼고 다 챙겻다
하늘이 도왓는지 오늘 날씨도 너무 좋다.
평소 보던 하늘인데
자전거타고 역까지 가느라 앞머리가 쓰나미가 되는데도
상대방도 이 하늘 보면서
약속장소 오고 있을거라 생각하며
리마인드 메세지 하나 보내는거도 너무 설렌다.
챗지피티가 만들어주는 내 문장보다
풍경이 비칠거같은 하늘이라는 말이 너무 예쁘다...
11시30분 개점이라 30분일찍 도착할거같아서
미리 줄 서있을라 했는데
상대방이랑 같이 줄 서있게 될 거 같다.
영하 10도 체감온도 영하 20도에서도 4박5일 야외숙영하고
50키로 완전무장 행군 완주한
상륙돌격 무적해병정신으로 가보자.
오늘만큼은 모솔아다도태번식탈락한남이 아닌
존잘알파메일 인간 대전차 지뢰다
후기 없으면
지뢰 터진줄 알아주삼..","제발 잘 돼서 더 안 나타났으면 한다.."
"s","Supportive","연애상담소","2023327","13054163","0","재회 연락은 미친 짓일까?","헤어진지 반년 정도 됐는데 그립다
현실적으로 다시 만나도 헤어질 가능성이 클것 같지만
그냥 보고 싶다
그 사이에 다른 사람 짧게 만났었는데
계속 너가 생각나더라","나도 그리워... 보고싶어. 같이 웃고 떠들고 싶어. 아침에 일어나서 잘잤냐고 물어보고싶어. 자기 전에 오늘 하루는 어땠는지 물어보고싶어. 같이 손 잡고 걷고싶어"
"s","Supportive","연애상담소","2023327","13054201","0","재회 연락은 미친 짓일까?","헤어진지 반년 정도 됐는데 그립다
현실적으로 다시 만나도 헤어질 가능성이 클것 같지만
그냥 보고 싶다
그 사이에 다른 사람 짧게 만났었는데
계속 너가 생각나더라","나도 연락하고 싶다 괜찮다가도 문득 문득 생각나서 놓아주기가 너무 어려워 네가 내 전 연인이라서 나랑 비슷한 생각을 하고 있는 거면 좋겠다"
"i","Informative","연애상담소","2023327","13054208","0","재회 연락은 미친 짓일까?","헤어진지 반년 정도 됐는데 그립다
현실적으로 다시 만나도 헤어질 가능성이 클것 같지만
그냥 보고 싶다
그 사이에 다른 사람 짧게 만났었는데
계속 너가 생각나더라","글쓰니도 그렇고 익1 2도 그렇고 왜 연락을 안 하는거야? 나는 진짜 사랑했고 아쉬우면 자존심이고 뭐고 다 버리고 연락하게 되던데"
"i","Informative","연애상담소","2023327","13054217","2","재회 연락은 미친 짓일까?","헤어진지 반년 정도 됐는데 그립다
현실적으로 다시 만나도 헤어질 가능성이 클것 같지만
그냥 보고 싶다
그 사이에 다른 사람 짧게 만났었는데
계속 너가 생각나더라","ㅇㅎ.. 다들 그리워하는데 연락은 안하는건가 싶었어 아예 읽씹했던 거야? 그거는 가망 없을듯"
"i","Informative","연애상담소","2023327","13054266","1","재회 연락은 미친 짓일까?","헤어진지 반년 정도 됐는데 그립다
현실적으로 다시 만나도 헤어질 가능성이 클것 같지만
그냥 보고 싶다
그 사이에 다른 사람 짧게 만났었는데
계속 너가 생각나더라","나는 상대방한테 차단당해서 연락할 창구가 없어.. ㅎ ㅠ 사실 집이라도 찾아가고 싶은데 내가 더 싫어질까봐 못 하겠더라"
"s","Supportive","연애상담소","2023327","13054251","0","재회 연락은 미친 짓일까?","헤어진지 반년 정도 됐는데 그립다
현실적으로 다시 만나도 헤어질 가능성이 클것 같지만
그냥 보고 싶다
그 사이에 다른 사람 짧게 만났었는데
계속 너가 생각나더라","그냥 해. 참을 필요가 있나? 상대가 싫으면 차단하겠지."
"s","Supportive","연애상담소","2023249","13054060","0","특별했던 5월","학생 때 마지막 연애를 했던 지도 몇 년이 지나고,
직장인이 되어 일에 치이고 살다 보니 사랑이라는 감정은 너무나도 무뎌졌던 것 같다.
주변에서 소개를 해줘서 나가더라도 상대에 대한 설렘과 같은 감정은 느낄 새가 없었고,
거절당하더라도 일상에 집중할 수 있어서 좋다고만 생각했었다.
어쩌면, 나에 대한 자존감이 낮아서 그저 그렇게 핑계를 대고 있었던 것 같다.
상사들도 일만 하지 말고, 사람을 많이 만나보라고 했었는데.
그러던 와중에 지난 달 말 소개팅 제안을 받았었다.
여느때처럼 거절하려고 했었는데 이미 내 사진도 줬고 약속만 잡으라고 하였다.
사실 정말 바쁘던 시기였고 많이 부담되었는데 주선해준 분이 정말 친한 분이라 나가게 되었다.
첫 만남은 5월의 첫 날이었다.
휴일이라 그런지 사람들도 정말 많이 나와있었고, 날씨도 너무 좋았다.
예약해둔 식당에 들어가자마자 아차 싶었다.
전달받았던 사진보다도 실물이 훨씬 더 예뻤었다.
왜 이런 사람이 지금 만나는 사람이 없을까? 라는 생각이 들 정도로.
첫 사랑보다도 더 강렬한 사람이었다. 그 순간 얼마나 떨렸는지 모르겠다.
손과 발 같은 비언어적이고 무의식적인 부분에서 티가 얼마나 났을까ㅎㅎ..
분명 그 사람은 내가 자기한테 호감이 있다는 걸 다 알고 있지 않았을까.
그렇게 이야기를 하다 보면서 더 호감을 가지게 되었다.
생각보다 그 사람과 나는 공통점이 많았다.
집안의 장남이자 장녀로 이제는 30대가 되었고, 영화나 음악과 같은 취향, 동일한 MBTI, 과거에 시험을 준비했었던 이야기들...
우연으로 유럽 첫 여행으로 영국을 택한 점.
그 사람은 올해 3월에 영국을 다녀왔었고, 나는 소개팅 후 1주일 뒤에 영국을 가기로 했었다.
그런 의미없는 일에도 놀라움을 느끼면서 식사하면서 이야기하는 데 2시간 반이라는 시간을 썼었다.
식사를 마친 후, 이제 가자고 하면 어떡하지? 내가 생각한 카페로 가보자고 할까? 하던 찰나에,
그 사람은 조금 더 걸으면서 이야기할까요 하며 지하철역 한 정거장 정도 거리를 걷자고 하였다.
자기는 길치니까, 나한테 길을 알려달라고 하였다.
같이 걸으면서 자기는 손이 작아서 현악기나 피아노를 못 치겠더라고 말하며 손을 보여줬을 때 왜 그토록 설렜을까.
어떻게 이 자리에 나온 거냐고 둘이 솔직한 이야기를 하면서 막 웃고, 똑같이 시킨 콜드브루 한 잔을 비울 때까지 또 1시간 정도 대화했다.
가는 길을 바래다주며, 오늘만큼은 거절당하면 어떡하지? 라는 생각을 하며 몇 시간 뒤에 문자를 보냈다.
상대에게 답장이 왔다. 어린이날은 본인도 선약이 있어 어렵다고 하였고, 여행 후 일정을 다시 잡아보자고, 편하게 연락달라고 하였다.
그 사람은 그 주에 이직을 앞두고 있었고, 나는 그 주에 1주일 동안의 여행을 떠나야만 했다.
완벽한 거절의 의사는 아니었으나, 보류의 의미라는 것은 알고 있었다.
그 사람도 많이 바쁠텐데, 생각할 시간을 충분히 주고 싶었다.
출국 전에도 이직 잘하라고 얘기할까 고민하다, 결국 부담주기 싫어서 문자를 지웠다.
그렇게 떠난 여행을 다니면서 우리가 대화한 것들이 계속 떠올랐다.
그 사람은 여기서 이 뮤지컬을 봤겠구나, 여기서 소매치기 조심하라고 했었지.
온전히 여행에 집중하려 하였으나 마음 한켠으로는 무서웠다.
거절당했을 때의 무서움이 그토록 싫었는데, 그런 감정들을 직면하면서 나를 좀 더 되돌아 볼 수 있었던 것 같았다.
귀국 후 그 사람에게 연락하였을 때, 그 사람은
좋은 사람인 것은 맞지만 더 이어가야겠다는 마음까지는 들지 못했다고
애매하게 이어가기보다는 솔직하게 말씀드리는 게 맞을 것 같았다고 하였다.
하루 정도는 정말 일이 손에 안 잡히는구나 싶을 정도로 힘들었던 것 같다.
만일 다시 만나게 된다면, 물어보고 싶었던 것들이 너무나도 많았다.
주고 싶었던 선물도 있었고. 정말 오죽하면 퇴근 후 선물을 위해 10분만 시간 내달라고 하고 싶을 정도였다.
고작 한 번의 만남에 이런 생각들을 태우는 것이 맞을까 싶었지만,
나에게는 멈춰있던 시간들이 다시 돌아가는 것만 같은 시간들이었다.
과거에 어떻게 사랑했었지 라는 생각을 해보고,
조금 더 옷이나 머리 그리고 표정에 신경을 쓰게 되고,
식단관리와 운동을 다시 하면서 나 스스로도 만족하게 되고.
붙잡을 수 없으니, 더 좋은 인연이 나타나기를 기다려야 하지만
마음 한켠으로는 그 사람이 당신이었으면 좋겠다고 생각하는 것이,
지금 이 기분을 계속 간직하고 싶은 것이 비울 수 없는 욕심인 것 같다.
주책인 걸 알지만서도, 당신 덕분에 너무나도 특별했던 5월이었다.","표현을 감미롭게 잘하시네요"
